,job_number,average_waiting_time
15,1,0.1738378787878788
0,2,0.00030555555555555555
6,3,0.0955891666666667
3,4,0.2959791666666667
13,5,0.00033888888888888884
5,6,0.49196388888888887
2,8,0.2954566666666667
9,9,0.0021194444444444446
7,10,0.0005666666666666666
11,11,0.11945833333333333
8,12,0.434025925925926
10,13,0.17852500000000002
4,14,0.29730749999999995
16,15,0.6347722222222222
12,17,0.3251875
14,18,1.2995722222222221
1,19,0.0025375
17,20,0.0002666666666666667
