Num_Hosts	AOSD	DOSD	EDF	RR	Random
3	1.348564292057942	1.3340206352026514	1.1935053399100628	1.2694539498310786	0.8952062024677393
4	1.198333892813423	1.1785885489125527	1.1450071388193506	1.132827908493957	0.8054954772305853
5	1.1746651628099298	1.1646932510387489	1.1193613581079866	1.0844778644391828	0.7138935996494247
6	1.1329930265530765	1.195538822510496	1.1744698843008843	1.1182575126487893	0.698227441593129
7	1.1459844227979266	1.1631417051478479	1.1608969604863273	1.1130781030990524	0.6392419965832914
8	1.098627699369476	1.1395402936677974	1.1728780937013423	1.0668847807998103	0.668823776241977
9	1.150309422124444	1.176536735088985	1.1695523999906683	1.1005017050991222	0.6177599476326505
10	1.1264839469787566	1.1528619279151404	1.1394132105031134	1.0398480968160653	0.6384917108401946
