Num_Hosts	AOSD	DOSD	EDF	RR	Random
3	29.558473828653106	30.435652400344328	30.857359748759514	31.227290629040365	33.5717154748554
4	30.59380608353034	32.9638250537864	31.46630316478456	30.954325466856297	40.676439765273614
5	31.82947831089764	33.28290205123741	33.48752282150751	30.283379705073223	43.295061066055105
6	31.77896343530835	32.4568857963133	32.55933853503188	31.010250574987925	45.30553186854476
7	32.683061266854935	33.06472239264793	32.667558543017996	31.576369021393877	47.4811127331298
8	33.00597039264219	33.03684197110712	32.88028147095147	32.624841866759084	46.45220474857083
9	33.433791795170315	31.819736782632837	32.281814047902074	32.05203982484962	48.779704982511326
10	32.25541995422165	32.89498172947981	33.4485013717867	32.17069804931505	50.480484267698365
11	32.39455383886456	32.351293743941056	32.873344070102995	32.234325422328105	50.10381923564269
12	32.21597924420687	31.625323604383176	33.06906920337026	32.62782056206441	52.776572089480204
13	32.78905910491937	31.968966182997775	33.62507020802386	32.40286152193908	51.85277137775879
14	32.14441003585554	33.54342414019317	33.66247280650286	32.748024071821625	52.46893836141168
15	32.819467024048784	31.71058378617613	32.60435338754349	31.550510592799625	52.44458263303212
