Num_Hosts	AOSD	DOSD	EDF	RR	Random
3	1.0551725032211567	1.0467348384230062	1.1078348465749948	1.0502768329667524	0.45254195509202894
4	1.0110768331134374	1.0086137488688045	1.0701939809242254	1.0125603183802299	0.4054554016555229
5	1.0115572975258864	1.0085125848716694	1.0753867048062367	1.0099279084870378	0.40249540265850503
6	1.012481503979035	1.0138153624562851	1.0728734298202072	1.014988272414673	0.41155413567460625
7	1.009101419870536	1.0135392777538648	1.0736684381811226	1.0158999134086504	0.41295082232470337
8	1.0104817675034605	1.0125338387313214	1.0742597858762934	1.008723187009262	0.39264504879063333
9	1.0139845585182141	1.014095329553553	1.0737589159237275	1.012416834675364	0.42336150353247215
10	1.0111953341154651	1.0150238415910648	1.0730566863645075	1.0104865616888945	0.3876809060181346
11	1.0168633340126494	1.016658185375341	1.075122243121915	1.010420640457258	0.4289277778426679
12	1.016645339825556	1.0100986266160383	1.061856527853142	1.0125484417373416	0.37846642531676705
13	1.0143621977677544	1.0065093878643785	1.070263007187899	1.011915419281584	0.44056958752155184
14	1.0139175683733876	1.0140290013866353	1.072022569410053	1.014028425894419	0.391103777712031
15	1.0115404197521194	1.0147407840828278	1.0718004273726067	1.0122859285175372	0.4313093448290941
