Number of Hosts,aosd,dosd,edf,random,rr
3,1.46414908901409,1.4767718937613858,1.5230300363539242,1.1468093291120915,1.4335874476780572
4,1.4327692997665193,1.3709112755234414,1.4961802471813865,0.954455373103857,1.4079752202287639
5,1.3222399782206358,1.239731357091683,1.4012418445900505,0.9034051236256119,1.3935474959563041
6,1.3577787737121536,1.355321683218116,1.3864649493541592,0.8863546314584926,1.3463502227653341
7,1.2842582142067354,1.2936193077812714,1.3484767551325307,0.8076539386854159,1.365654653720735
8,1.3916788069102188,1.3002385686286475,1.2361944743783722,0.6038578154610367,1.0287138522269397
9,1.2579922270197672,1.5192266530830005,1.2929100897563766,0.5130596017094834,1.2917037321144267
