Number of Hosts,aosd,dosd,edf,random,rr
3,1.0551725032211567,1.0467348384230062,1.1078348465749948,0.45254195509202894,1.0502768329667524
4,1.0110768331134374,1.0086137488688045,1.0701939809242254,0.4054554016555229,1.0125603183802299
5,1.0115572975258864,1.0085125848716694,1.0753867048062367,0.40249540265850503,1.0099279084870378
6,1.012481503979035,1.0138153624562851,1.0728734298202072,0.41155413567460625,1.014988272414673
7,1.009101419870536,1.0135392777538648,1.0736684381811226,0.41295082232470337,1.0158999134086504
8,1.0104817675034605,1.0125338387313214,1.0742597858762934,0.39264504879063333,1.008723187009262
9,1.0139845585182141,1.014095329553553,1.0737589159237275,0.42336150353247215,1.012416834675364
10,1.0111953341154651,1.0150238415910648,1.0730566863645075,0.3876809060181346,1.0104865616888945
