Number of Hosts,aosd,dosd,edf,random,rr
3,92.52744102302925,94.08479363773482,93.7450306229718,93.44020407696878,93.99601101512866
4,99.77124183006535,99.77124183006535,99.77124183006535,99.49974861739567,99.77124183006535
5,99.77124183006535,99.54901960784314,99.77124183006535,99.77124183006535,99.60457516339869
6,99.45359477124182,99.77124183006535,99.47124183006535,99.77124183006535,99.60457516339869
7,99.48406234288586,99.77124183006535,99.57124183006536,99.77124183006535,99.39517345399697
8,99.39517345399697,99.77124183006535,99.77124183006535,99.77124183006535,99.57124183006536
9,99.60457516339869,99.77124183006535,99.77124183006535,99.77124183006535,99.77124183006535
10,99.65359477124183,99.77124183006535,99.206162464986,99.77124183006535,99.37740429505135
